0.12%	0.14%	0.16%	0.18%	0.20%
2432.97872143665	2473.71523440069	1991.98308947271	2107.58388542257	2429.9634851265
2407.29508213491	2414.61278123595	1969.41478469756	2041.92116503569	2424.9206373185
3654.44057973004	2809.98631527398	3024.18156937663	2482.57354928108	1784.97764970227
3617.59953318966	2744.71058503671	3074.66970964477	2425.32918387545	1704.87111847686
2128.23537958094	2756.6342691559	2700.22800032055	3838.69819106684	1800.06293412275
2130.26252407934	2785.57354942849	2626.22499469156	3817.94393742558	1862.31233054336
2305.39965137609	2399.26796826942	2635.73114199912	3187.88281927519	2710.30087960082
2307.56479201066	2390.05101154828	2692.69234092143	3204.99525843843	2614.39428519508
3156.56393864562	3007.84481445879	2080.66910496224	3037.46553752405	2234.74659556477
3191.18009787697	3005.88717075797	2092.44995491302	3053.37713519265	2212.65149149256
